"","Control1","Control2","Control3","M1","M2","M3"
"Zranb2",18.218843,20.590259,18.610377,19.296639,16.293041,10.194323
"Lrriq3",0.373307,0.538831,0.628347,0.42429,0.236564,0.16713
"Dnase2b",0.015478,0.011851,0,0,0,0
"Adgrl2",5.193862,7.560864,6.775769,3.742093,4.030421,5.29494
"Rpf1",11.373414,11.976136,11.525723,8.652198,7.810322,7.946612
"Uox",0,0,0.063261,0,0,0
"Ctbs",3.044782,2.794482,4.531088,2.97656,1.905313,2.990036
"Spata1",1.081625,0.981503,0.727652,0.961497,0.699079,0.278486
"Ptprh",0,0,0,0,0,0
"Mageb4",0,0,0,0,0,0
"Fam170a",0,0,0,0,0,0
"Sap30bp",5.9565,8.009713,7.070143,6.581099,4.258884,7.953352
"Recql5",2.686935,3.448378,3.216138,2.888543,2.502213,3.559103
"Itgb4",4.078343,5.383246,4.239563,2.550983,2.562058,4.866352
"Ahnak",22.693234,25.672103,52.21187,33.650592,26.8738,37.770207
"Nlrp1a",0,0,0,0,0,0
"Atp6v0d2",1.886524,2.460116,0.464287,0.506913,0.417165,0.155251
"Cdk10",7.697243,11.886892,6.849371,10.779057,9.222414,10.125493
"Klf9",21.493423,21.518929,27.84783,22.443907,21.157921,18.495781
"Fgg",1.286274,3.08323,4.062095,1.265669,2.008511,1.256926
"Sat2",1.97916,2.468874,3.836648,3.81862,2.53854,3.630216
"Tgs1",3.316612,3.742571,5.126989,4.258171,3.108556,3.821023
"Tmem68",4.648377,4.716181,5.603086,4.235485,4.064336,4.264683
"Sdr16c5",0,0,0,0,0,0
"Rps20",61.514847,93.460747,30.098074,82.352386,56.716427,61.445908
"Olfr779",0,0,0,0,0,0
"Ackr2",1.308499,0.852245,2.404097,0.995175,0.980415,2.321368
"Rps2",27.323207,39.524694,23.130494,30.59268,35.733584,31.634871
"Btbd35f22",0,0,0,0,0,0
"Cst7",0.700172,0.582057,0.947033,0.493163,0.148915,1.107862
"Nop56",12.702122,18.728295,20.833903,20.392309,16.850577,21.267546
"Snrpb",80.737189,94.403276,45.873877,89.449456,87.380714,93.933257
"Olfr1101",0,0,0,0,0,0
"Olfr1104",0,0,0,0,0,0
"Olfr1109",0,0,0,0,0,0
"Pdyn",0,0,0,0,0,0
"Tgm6",0,0,0,0,0,0
"Olfr1098",0,0,0,0,0,0
"Olfr1099",0,0,0,0,0,0
"4933415F23Rik",0,0,0.028234,0.014799,0,0
"Stk4",5.364781,5.986547,8.014541,5.431213,3.88832,6.410474
"Cnr1",0.104874,0.176817,0.382941,0.226432,0.119344,0.12978
"Olfr221",0,0,0,0,0,0
"Nrn1l",0,0.167258,0,0.166809,0.310659,0.210126
"Chrd",0.941708,1.637084,1.827783,2.449149,2.107931,2.365437
"Defb50",0,0,0,0,0,0
"Tmed9",52.907848,71.977081,38.834535,60.985993,41.442131,59.275688
"Gm21719",0,0,0,0,0,0
"Erap1",9.217603,11.336901,18.501401,12.719083,7.542462,11.95389
"Pcsk1",0.03848,0.044064,0.019954,0.03698,0.102515,0.038044
"Cast",18.140722,19.296838,30.756693,20.523163,19.348989,23.313069
"Rhobtb3",4.425498,4.753558,4.943065,4.437771,3.337428,3.60644
"NewGene_159",0,0,0,0,0.320386,0
"NewGene_154",0.130816,0.454654,0.611341,0.30507,0.528627,0.640862
"NewGene_157",0,0.175971,0,0,0.398563,0
"NewGene_151",0.434889,0.413853,0.436677,0.106378,0.385113,0.282184
"NewGene_153",0,0,0.181755,0,0,0
"NewGene_152",0.638968,0.27425,0.3713,0.163719,0.714064,0.344019
"Gm8300",0,0,0,0.021252,0,0
"Vwa3a",0.652533,0.484793,0.708011,0.604861,0.773914,0.463682
"Rrp8",5.866134,6.994208,7.411001,10.188849,6.639729,7.289245
"Arfip2",10.831533,12.101614,9.916519,11.525146,9.917364,9.994252
"Polr3e",3.14349,3.531317,4.786804,4.136901,4.059048,4.774839
"Psmb7",97.711784,83.555984,74.697151,87.766876,107.75351,95.333221
"Dnhd1",0.140829,0.204943,0.340722,0.419179,0.273944,0.115456
"Uqcrc2",365.074738,173.623474,198.615417,161.425644,390.703247,283.221497
"Golga1",3.653754,3.983522,5.076279,4.341041,3.158544,3.165671
"Arpc5l",42.852291,38.017059,41.109312,37.978875,41.748636,38.887878
"Gm13084",0,0,0,0,0,0
"Ddn",0.261228,0.248856,0.311774,0.213902,0.211873,0.18045
"Ubap1l",0.359794,0.131849,0.104455,0.197131,0.355108,0.227795
"Syce2",0.863417,1.668641,1.389089,0.999395,1.066677,0.585434
"Olfr213",0,0,0,0,0,0
"Gm15013",0,0.024483,0,0,0,0.030821
"Gm21721",0,0,0,0,0,0
"Bid",2.503582,4.821228,7.3357,6.6428,4.09973,6.425701
"Vmn2r25",0,0,0,0,0,0
"Olfr1354",0,0,0,0,0,0
"Kctd12",12.014925,11.071418,18.957508,13.430717,10.979816,16.013126
"Chst9",0,0,0.087426,0.075442,0.020152,0.074548
"Hpgds",0.732441,0.976176,1.133513,0.674537,0.407396,0.625906
"Mrps33",27.50714,19.754517,23.874639,23.15728,27.14393,22.867003
"Clec5a",0.121536,0.165227,0.318274,0.268482,0.05249,0.230296
"C130060K24Rik",0,0,0,0,0,0
"Agk",6.52004,5.912389,6.482284,4.651386,5.979713,5.753035
"Ssbp1",15.628308,21.979289,12.287009,19.129631,17.342088,14.02646
"Mad2l1",1.163716,1.549415,1.925327,2.236748,1.091944,2.234324
"Prdm5",0.654058,0.777067,1.146781,0.945905,0.414924,0.578836
"Mkrn3",0.20847,0.428779,0.133788,0.214831,0.227488,0.183195
"Gm17467",0,0,0,0,0,0
"Gm13285",0,0,0,0,0.013343,0.003377
"Prss16",1.271345,2.567019,0.444117,0.677523,0.297554,0.773486
"Edaradd",0.039447,0.087082,0.035041,0.061994,0.009943,0.075061
"Esp15",0,0,0,0,0,0
"Tor1b",10.801826,14.659747,13.519217,13.184377,11.162911,14.777894
"Ifi209",0.378855,0.422058,0.948023,0.758827,0.252379,1.051306
"Uevld",3.290113,3.161022,5.414377,3.579534,3.482684,3.94359
"Olfr1031",0,0,0,0,0,0
"Kdelc1",3.175329,4.652244,5.598212,4.982668,2.537726,5.06103
"Ssc5d",3.07398,2.959356,6.877377,3.895729,3.269286,6.894331
"Plekhj1",13.839797,19.203556,11.295242,20.555929,16.101027,17.225271
"Wnt3",0,0,0,0,0.025367,0
"Agtr2",0.031994,0,0.060858,0.076678,0,0.078608
"Tmem30b",3.831993,8.925273,5.511407,3.224142,2.61322,3.158098
"Zxdc",3.364986,4.198447,3.339899,3.647685,2.881763,4.599992
"Cops8",21.268295,22.266516,24.496183,22.390642,25.317326,26.459989
"Gbp8",0.355876,0.498839,1.950441,0.473804,0.069055,1.996687
"Gm7682",0,0,0,0,0,0
"NewGene_1344",0.309818,0.275761,0.573494,0.205631,0.253266,0.405559
"NewGene_1345",0.186906,0.402785,0.433043,0.315756,0.213065,0.372218
"NewGene_1340",0.303206,0,0,0,0,0
"NewGene_1341",0.201533,0.073043,0.572258,0.192365,0.457569,0.255425
"NewGene_1343",0,0.129873,0,0,0,0
"Kdm4d",0.042749,0.069442,0,0,0,0
"Gm21834",0,0,0,0,0,0
"Nanp",2.982152,4.545247,4.419093,2.956453,2.198177,5.277056
"Wfdc2",11.415159,33.707501,27.964059,37.535367,29.393556,25.115726
"Pigt",23.751712,31.27239,27.359315,25.922946,21.271104,34.618985
"Trp53tg5",0,0.082481,0,0,0,0
"Etv4",0.320903,1.056637,0.932455,1.712627,0.611023,1.333879
"Lpo",1.241216,1.041965,0.02933,0.024358,0,0
"Mpo",0.036091,0.04836,0.051855,0.174124,0,0.185432
"NewGene_3272",0.276459,0,0.073237,0.25229,0.101228,0.167551
"NewGene_3273",0.857713,0.592816,0.709207,0.582659,0.438739,0.72596
"NewGene_3271",0,0.26159,0,0.036293,0.130307,0
"NewGene_3276",0.670667,1.547863,0.5468,0.84435,0.490394,0.493342
"NewGene_3275",0,0.281999,0.282495,0.092168,0,0
"NewGene_3278",0,0.322331,0,0,0,0
"NewGene_3279",0,0,0,0.134474,0,0
"Ppt2",23.090891,23.748937,20.684792,22.457858,23.384929,26.312169
"Zfp296",0.631504,1.182905,0.967228,0.864543,0.66728,0.966291
"Prkcg",0.335455,0.5219,0.396521,0.412238,0.470863,0.338065
"Nlrp12",0,0,0,0,0,0
"Cacng6",6.983972,5.42171,6.756129,4.054664,8.313787,6.650589
"Eif5a",265.23105,295.882219,217.596933,293.408959,294.408957,322.166137
"Leng1",6.524136,7.260867,6.561956,8.697177,7.134645,7.176377
"Gp6",0.034863,0,0.008523,0.018257,0,0.006556
"NewGene_1692",0.822147,0.107159,0.937269,0.246699,0.9535,0.469505
"NewGene_1693",1.676835,2.261832,0.0468,0,0,0.060125
"NewGene_1690",0.063834,0.092308,0.332223,0.158078,0.475451,0.29354
"NewGene_1696",0,0,0.167613,0,0,0
"NewGene_1697",0.682123,0.711714,0.582388,0.488934,0.758813,0.44649
"NewGene_1694",0.102382,0.184534,0,0.05979,0,0
"NewGene_1698",0.119777,0.535459,0.179979,0,0.074185,0
"Sox2",0.200928,0,0.067062,0.083354,0.066272,0.108337
"Abca12",0,0,0.005503,0.004415,0,0
"Olfr1105",0,0,0,0,0,0
"Foxc1",1.266096,2.125968,1.008205,1.106167,0.667729,1.440881
"Olfr1106",0,0,0,0,0,0
"Idh3b",374.260417,167.37808,178.648273,171.040439,409.788471,289.379609
"Tgm3",0.304654,0.169321,0.284842,0.380723,0.289683,0.354127
"Gm29554",0,0,0,0,0,0
"Olfr259",0,0,0,0,0,0
"Olfr1107",0,0,0,0,0,0
"Nme8",0,0,0,0,0,0
"Zfp598",9.997061,13.434272,8.519995,11.62515,12.541631,12.522768
"Smc1a",11.044222,13.486528,16.903137,10.913651,10.006425,13.631981
"N4bp2l1",8.966173,12.016109,21.486888,14.751153,16.232132,12.58639
"Ripk2",3.84372,3.934056,5.520655,4.447412,3.947163,4.655766
"Cyyr1",10.021292,9.044391,13.056386,9.286242,9.604043,8.279134
"Gm9045",0.244048,0.326279,0.394651,0.134227,0.248004,0.194435
"1700020A23Rik",0,0,0,0,0,0
"Srsf6",27.885525,43.176422,39.281635,41.803619,29.600526,29.843467
"Cpxm1",10.01071,12.859742,21.5881,16.134193,7.376487,24.775143
"NewGene_2583",3.991605,0.972629,3.108569,4.199215,6.122959,5.197653
"NewGene_2580",0,0.188457,0,0.458966,0,0
"NewGene_2587",2.117203,1.735377,3.157683,4.450504,3.168683,3.234342
"NewGene_2584",0.323878,1.462382,0.63696,0.98945,0.649167,0.879946
"NewGene_3188",1.431978,3.368359,2.871588,2.259932,3.08584,2.289833
"NewGene_3189",0.353023,0.279663,0.135376,0.223645,0.234945,0.075827
"NewGene_3180",0,0,0,0.28389,0,0
"NewGene_3184",0,0.25343,0.239195,0.108034,0.049044,0
"NewGene_3187",0.041064,0.086703,0.061716,0.288581,0,0.151564
"Rpl30",14.824306,21.537352,13.331786,41.028803,17.048059,15.717432
"NewGene_2631",3.504857,5.315606,2.484355,1.697774,1.159217,2.2634
"NewGene_2630",0.131068,0.185235,0.070226,0.278371,0.273999,0.237147
"Vmn1r5",0,0.021154,0,0,0,0
"NewGene_2632",0,0.225866,0,0,0,0
"NewGene_2635",0.168143,0,0,0.064378,0,0.084588
"NewGene_2634",3.471543,4.454925,1.844603,3.408827,4.584105,2.339689
"Vmn2r46",0,0,0,0,0,0
"Fbxo6",19.979572,22.127248,19.92696,19.910454,22.157519,22.012074
"Map6",4.214303,6.277129,6.796719,8.690899,4.608721,7.589553
"Nell1",0.00583,0,0,0,0.005976,0
"Enthd1",0,0,0,0,0,0.041956
"Usp29",0,0,0,0,0,0.006549
"Gm21887",14.204224,27.806275,8.39775,67.684341,31.903663,22.735617
"Olfr424",0,0,0,0,0,0
"Gm5890",0,0,0,0,0,0
"Pate3",0,0.046125,0,0,0,0
"Oard1",12.387278,15.22951,16.343449,15.258599,13.60414,12.87193
"Cept1",20.302568,22.196894,31.07635,26.868221,20.208607,23.240213
"Fbxw25",0,0,0,0,0,0
"Gm3776",0,0.032617,0,0.056313,0,0
"Col8a2",0.162482,0.444392,0.386223,0.203822,0.163478,0.221878
"Gm49385",0,0,0,0,0,0
"NewGene_5260",0,0.153982,0,0.034855,0.126034,0
"Olfr135",0,0,0,0,0,0
"1700084M14Rik",0,0,0,0,0,0
"Ubxn11",0.409568,0.663813,0.463713,0.590344,0.522072,0.477799
"Crybg2",0.375072,0.259161,0.067821,0.065574,0.113137,0.109586
"Apex2",2.31935,2.674793,3.061543,2.518502,2.946722,2.802016
"Maged2",6.566878,7.118873,10.964818,8.305045,6.979942,10.274715
"Gnl3l",6.268737,7.885206,7.549853,5.36289,4.174758,5.871861
"Fgd1",1.432727,2.061943,0.78836,0.659926,0.631741,1.088061
"Tsr2",4.155906,5.337029,5.594135,5.315787,3.896315,4.984932
"Fam120c",1.217464,1.297873,2.79681,0.893269,0.890531,1.416839
"Huwe1",8.505098,10.07257,12.254783,7.97817,8.295786,10.521002
"Hsd17b10",92.309167,88.144992,96.797223,94.842377,118.978727,104.950645
"Gm8247",0,0,0,0,0,0
"Gm13693",0,0,0,0,0,0
"Hist1h2bl",0.364362,0.755681,0.652858,0.529955,1.310099,0.316945
"Iqcf6",0,0,0,0,0,0
"Atp8b4",0.111471,0.196258,0.267451,0.208101,0.128702,0.213328
"Vmn1r54",0,0,0,0,0,0
"Dusp18",3.193095,3.174118,4.069621,4.680959,2.801643,3.424771
"Olfr1495",0,0,0,0,0,0
"Tchp",1.497081,1.942685,2.177696,2.530861,2.108736,2.067023
"Itgb7",3.515786,2.574524,3.120505,2.832778,0.878359,6.745025
"Scgb2b15",0,0,0,0,0,0
"Pi15",0.177507,0.092203,0.497684,0.320636,0.068596,0.262961
"Nnat",30.217177,118.140425,306.208891,300.674348,91.905239,227.690001
"Blcap",23.768523,25.875018,34.875408,36.874285,36.881241,37.835994
"Aldh1a1",26.094155,30.590078,45.509067,25.729048,25.420162,32.655785
"Gm40193",0,0,0,0,0,0
"Olfr730",0,0,0,0,0,0
"Tlx2",0,0,0,0,0,0.032721
"Slc4a5",0,0,0,0.002231,0.012246,0.024031
"Htra2",14.771337,13.580059,12.710646,14.603212,16.936659,15.964283
"Aup1",51.416738,65.577581,43.431792,48.07071,55.452833,57.66687
"Nmral1",1.109704,2.487354,1.649567,1.90651,2.146627,2.503916
"Ube2d2b",0,0,0,0,0,0
"Plppr1",0.01807,0,0,0,0,0
"Plekhd1",0.086858,0.322239,0.158652,0.088064,0.174758,0.053123
"Gm28553",0,0,0,0,0,0
"Gm20518",0.213341,0.421142,0.491134,0.243785,0.311118,0.349511
"Vmn1r180",0,0,0,0,0,0
"Kera",0.021304,0.051266,0.219368,0.366855,0,0.041868
"Mrln",6.952066,6.154513,6.464314,6.052268,9.48875,5.18985
"Slc17a8",0.019361,0.007461,0.096934,0.04738,0.017718,0.011081
"Epyc",1.057995,1.765483,0.753567,1.316512,0.177902,0.672861
"Ppp2ca",33.503334,33.610126,36.368378,33.242626,32.85659,34.330345
"Arih2",13.000746,12.583588,13.059145,11.822063,14.677586,12.685227
"Mgat1",16.543005,21.511425,19.318914,22.505533,18.892493,24.521374
"Rab44",0.11209,0.14669,0.314287,0.555742,0.123071,0.533288
"Ccl26",0,0,0,0,0,0
"Zfp69",0.552269,0.979136,1.037887,0.959288,1.085407,1.319553
"Trim38",0.071338,0.048727,0.047458,0.048099,0.102595,0.019431
"Pcdha9",0.033366,0,0.017058,0,0,0
"Olfr291",0,0,0,0,0,0
"Trim60",0,0,0,0,0,0
"Gm45234",0,0,0,0,0,0
"Phactr1",0.904478,1.096223,1.563139,0.95858,0.791697,1.209651
"Vmac",10.04953,12.709725,10.765304,10.783433,8.016321,11.25612
"Lrrc8c",4.522632,3.887751,6.413763,4.128834,4.044147,5.355093
"1700013H16Rik",0,0,0,0,0,0
"Olfr701",0,0,0,0,0,0
"Ttll7",3.032794,1.972543,3.904444,1.715743,2.070457,1.492954
"Gm10715",0,0,0,0,0,0
"Psma8",0.027428,0.071911,0.104343,0.060997,0.059924,0
"Otud7a",0,0,0.02796,0.023088,0,0
"Cuedc2",16.159497,16.648147,14.892121,18.680884,19.998295,21.41892
"Pramel5",0,0,0,0,0,0
"Olfr510",0,0,0,0,0,0
"Hgs",11.825761,13.898295,10.551524,11.125095,12.912381,13.091346
"NewGene_4098",0.935773,0.352249,0.607731,1.117446,0.740468,0.53102
"Hikeshi",13.597354,15.710668,13.960378,11.859834,13.362484,12.382119
"Zfp599",0.219806,0.166865,0.269617,0.221954,0.059559,0.200505
"Olfr1158",0,0,0,0,0,0
"Sept2",18.343027,32.659382,8.693863,17.931086,18.018587,35.821606
"Gm382",0,0,0,0,0,0
"NewGene_425",0.619432,0.312908,0.474042,0.572606,0.727586,0.3624
"Arf2",10.263135,11.010372,12.621654,11.823885,11.51809,13.493787
"NewGene_421",0,0,0.324959,0,0,0.373323
"NewGene_420",0,0.130142,0,0,0,0
"NewGene_423",0,0.259626,0,0.19849,0.110117,0
"NewGene_422",31.71472,40.83598,54.727963,30.856555,27.64755,40.517242
"Rab3d",14.758093,18.16162,17.873212,17.882812,13.735899,20.467502
"NewGene_428",0.249935,0.089421,0.395305,0.371443,0.268241,0.804716
"Cdcp1",3.39652,6.746735,3.758993,2.419623,1.575101,2.327231
"Ubl4b",0,0.026967,0,0,0,0
"Oosp2",0,0,0,0,0,0
"Gm44596",0,0,0,0,0,0
"Cldn34b3",0,0,0,0,0,0
"4930522H14Rik",0,0,0,0,0,0
"Olfr1330",0,0,0,0,0,0
"Rpl10l",0,0,0,0,0,0
"Mtmr2",15.145652,13.163455,17.753292,12.411601,12.541101,14.177284
"Tmed6",0,0,0,0,0,0
"Cog8",10.552406,11.930926,11.108079,11.427163,11.733659,12.63023
"Nip7",4.736466,5.73421,5.900039,6.326197,5.061125,6.109004
"Has3",0.153672,0.14022,0.309937,0.21827,0.211106,0.218955
"Vps4a",23.73151,26.981569,29.940039,25.080452,27.196487,27.920158
"Gm5105",0.233456,0.170528,0.308802,0.13493,0.108331,0.191597
"Lrrc56",1.306237,1.022002,1.695818,1.152026,1.656642,1.890423
"Degs1",36.560471,38.30315,58.372459,42.310429,43.519505,51.281052
"Zkscan16",0,0,0,0,0,0
"Pzp",0.071138,0.048581,0.088874,0.030177,0.159061,0.063218
"Fkbp4",86.244591,88.359802,70.226982,68.825481,75.684361,76.271614
"Tspan11",0.962014,0.613779,0.895414,0.600157,0.44042,0.764283
"Prmt8",0,0,0,0,0,0
"Tead4",0.871657,1.595575,1.046294,1.092572,1.002902,0.933139
"Tspan9",7.476363,9.236531,12.733194,7.680278,8.122012,10.796475
"Ifrd1",24.337847,29.926929,31.358549,27.77933,20.430594,22.71107
"Pnldc1",1.17464,1.131896,1.484705,0.701677,4.384581,2.043821
"Sft2d1",15.643761,16.868402,6.642136,15.812466,13.370612,13.681361
"Ucn2",0.045546,0.163718,0.179368,0.171731,0.113432,0.005861
"BC048671",0,0,0,0.036281,0,0.041978
"Nckap5",0.363275,0.237238,0.428131,0.210451,0.096916,0.249249
"Nkx3-2",0,0,0.02322,0,0,0
"Tmem239",0,0,0,0,0,0
"Fbxo33",3.988687,4.005143,4.294732,4.953956,3.885411,3.634373
"Sec31a",25.249313,25.810563,26.883506,21.582801,21.434337,30.967692
"Msrb1",63.511307,75.127325,33.151351,69.60379,60.314854,57.102836
"Txnrd2",24.558682,14.058083,12.648349,16.601257,26.263293,16.859887
"Dio3",0.036305,0.023697,0,0.055683,0,0.101813
"Gpx4",733.05997,577.087134,467.107864,806.101886,870.317623,806.8057
"Selenos",34.34896,44.267176,28.735699,40.937259,34.026255,34.718383
"Ogfod2",13.915361,14.636222,8.708259,15.499882,19.274263,14.509988
"Selenoi",2.939546,3.346044,4.186185,3.255794,2.657839,3.571481
"Selenom",19.511179,29.05018,18.109961,27.816931,19.722864,29.028677
"Dpp7",9.230015,10.062079,8.809573,10.232225,9.781786,11.380054
"Grin1",0.039574,0.06035,0.018619,0.034845,0.019697,0.015204
"St8sia3",0,0.006202,0,0,0,0
"Fam89a",0.974015,1.539546,1.569707,1.626755,1.736707,1.287159
"Gm6812",0,0,0,0,0,0
"Tmem18",5.477882,6.57449,7.162134,6.436087,5.068597,6.999633
"Fscb",0,0,0,0,0,0
"Spice1",1.4723,2.70552,2.519708,1.584016,1.693248,1.695597
"Dpy19l1",5.673022,5.555481,6.817969,5.40162,5.199319,6.501203
"Vmn1r66",0,0,0,0,0,0
"Laptm4b",32.582623,36.284348,49.874155,41.79034,38.401349,49.384232
"Mtdh",12.502745,14.260188,17.728822,14.953043,11.820735,10.232768
"Enam",0,0,0,0,0,0
"Smr2",0,0,0,0,0,0
"Smr3a",0,0,0,0,0,0
"Cdc7",0.620878,0.928474,0.592337,0.83432,0.511963,0.694526
"Amtn",0.241584,0.832033,4.434787,0.574344,2.024657,0.417905
"Ambn",0,0,0,0,0,0
"Atp6ap2",30.896725,38.744183,26.609434,24.887344,19.606606,24.651125
"Gm128",0,0,0.025488,0.05353,0,0
"Ppp1r8",8.748507,9.888717,10.880748,9.775841,9.502858,10.991005
"Sema3a",0.220893,0.410162,1.109302,0.514585,0.330445,0.337608
"Rpa2",5.650821,6.942517,7.093739,7.414074,5.989922,7.235836
"Smpdl3b",1.366468,2.497041,1.71808,1.310084,0.903249,2.101784
"Eya3",4.95593,6.017827,6.308674,4.551289,3.863817,5.686413
"Yrdc",8.450669,10.620962,7.068778,12.194551,9.93588,9.59905
"Zyg11b",6.250492,5.696151,10.185064,5.879564,6.423913,7.036645
"Ly6d",9.876394,28.008978,94.724716,31.101206,62.729927,20.756975
"Sp8",0,0,0,0,0,0
"4933424G06Rik",0,0,0,0,0,0
"Sh2d1b1",0.152056,0.098323,0.095007,0.103842,0.013574,0.160833
"Rimbp2",0.006948,0,0.019803,0.010907,0,0
"Piwil1",0,0,0,0,0,0.008401
"Rsrc2",20.544546,25.411899,23.829467,22.479733,15.457587,17.332381
"Zcchc8",4.849362,6.291889,5.73453,5.893126,4.70858,5.193563
"Scarb2",27.884211,27.501305,36.532623,25.234299,29.578465,29.61252
"Stx2",7.336729,8.414462,12.755187,10.361434,8.118335,11.699997
"Gdpd4",0,0,0,0,0,0
"Kcnh8",0,0.040171,0.023381,0,0,0.011057
"Tsen34",29.770833,38.253309,24.338117,40.749129,37.645508,42.746024
"Alox5",1.016382,1.18513,1.761813,1.431546,0.65122,2.925485
"8-Mar",12.078848,13.834225,17.986272,14.860767,12.656446,15.734422
"Hrh2",1.029557,1.395818,1.019218,0.7082,1.130361,0.954936
"Parm1",38.059708,36.004845,33.877602,30.920691,32.304897,38.562775
"Rad17",7.42625,6.6942,9.070034,6.69451,6.865371,5.444344
"Marveld2",1.169726,3.326644,1.270056,1.192079,0.620935,1.166327
"Cd59a",46.412242,43.55379,45.975069,52.674934,56.608245,48.543798
"Ocln",1.937926,3.682566,2.09311,0.933653,0.998963,1.451648
"Gtf2h2",5.913988,5.184043,6.86153,5.061745,5.592134,5.602545
"Prorsd1",14.527962,15.375382,9.187958,15.899818,15.143142,10.304237
"Traip",0.289794,0.525827,0.434024,0.296901,0.115974,0.295049
"Nlrc5",1.183355,1.670825,3.54517,1.895663,1.193455,2.484141
"Rbm6",6.009823,7.911222,11.645128,8.262951,4.95736,6.042743
"Ces1h",0,0,0,0,0,0
"Klk5",0,0,0,0,0,0
"Zfp976",0.149087,0.15475,0.460303,0.161083,0.090916,0.099284
"Bsn",0.102772,0.062679,0.027911,0.083445,0.043425,0.088468
"Foxn4",0,0,0,0,0,0
"Cd109",0.430186,0.697679,1.309831,0.931291,0.891818,1.048093
"Prlhr",0,0,0,0,0,0
"Kcng3",0,0,0,0,0,0
"3110040M04Rik",0.018309,0,0,0,0,0.026821
"Ppp6c",16.990433,17.927939,22.679556,17.012357,18.941093,16.810854
"NewGene_4131",0,0.129873,0,0,0.107973,0
"Nr5a1",0,0.025897,0,0,0.022276,0
"Tesk2",1.364391,1.140791,1.474889,1.324198,0.715399,1.476442
"Dnah17",0.021268,0.015315,0.022239,0.031316,0.031421,0.019437
"Gria2",0,0.007338,0,0,0.003813,0
"Coil",1.548457,2.499317,2.216394,1.994158,2.32066,2.544409
"Pdzd9",0.146958,0.128241,0.098663,0.078777,0.176674,0.128321
"Mrpl49",23.27051,22.739134,25.498188,24.57267,27.564209,27.518492
"Rsbn1",2.921196,3.845908,4.751509,3.853311,2.501871,2.58723
"C130050O18Rik",0.248978,0.505926,0.048807,0.091292,0.053404,0.3687
"Wipf1",7.431566,8.211104,9.191326,6.476481,5.956504,9.577782
"Carns1",1.235986,1.543091,0.933702,1.228093,1.666026,1.170512
"NewGene_2033",0.19921,0.242823,0.389716,0.167499,0.184026,0.211256
"NewGene_2030",0,0.300331,0.277059,0.099754,0.0841,0.204383
"NewGene_2034",0.353282,0.170242,0,0.331952,1.248945,0.139357
"Scyl1",32.717739,26.310907,27.372936,23.900808,29.403551,29.881319
"Ltbp3",26.225842,39.463596,30.942213,33.620937,29.490131,36.495872
"Smc5",3.003604,3.072768,3.802765,3.108561,2.26637,2.004622
"Capn1",13.151902,16.860199,19.255166,12.797045,12.830232,17.482289
"Arl2",32.555031,28.274416,20.30526,35.75404,39.71666,39.460438
"Men1",8.826982,11.625285,10.959561,9.538029,9.239176,11.400645
"Epas1",76.633957,75.680061,90.673279,73.037834,77.00592,85.429497
"Sf1",32.453258,44.837755,41.055343,40.887992,39.808996,42.285104
"Map4k2",4.832564,5.553932,5.191815,5.536603,5.463673,5.33493
"Seh1l",14.61798,16.270744,16.749454,15.210204,13.867443,15.776347
"Uqcr10",359.281677,225.282227,150.717865,283.680939,440.036835,294.291687
"Kctd14",1.372937,2.292116,0.781309,1.696567,0.913209,0.995122
"Kcnf1",0.260816,0.063377,0.172198,0.043664,0.136538,0.153759
"Wdcp",1.462015,1.284986,1.468283,1.431325,1.44232,1.43819
"Tmem145",0,0.00859,0,0,0,0
"Ankrd39",2.629099,2.500437,1.896778,2.805014,2.658653,2.370997
"Fam243",0,0,0,0,0,0
"Olfr1273-ps",0,0,0,0,0,0
"Pcyt1a",13.98102,12.745967,18.622988,12.217631,15.698863,16.325686
"Eif4g2",85.982438,88.746075,113.482696,94.867187,87.785756,93.863598
"Mrvi1",1.724695,1.829105,2.15454,1.53632,1.257077,2.036396
"Tmem270",0,0,0,0,0,0
"Rundc3b",0.135676,0.144707,0.248968,0.11937,0.138472,0.102502
"Mblac2",3.73876,2.262649,3.146618,2.841288,2.732687,2.553545
"Olfr986",0,0,0,0,0,0
"Vmn2r74",0,0,0,0,0,0
"Vmn1r193",0,0,0,0,0,0
"Csl",0.026936,0.119698,0.02549,0.010259,0.050076,0.046519
"Slamf9",2.293092,2.930695,5.023298,4.460997,2.332228,6.346995
"Apcs",0,0,0,0,0,0
"Tagln2",50.068175,59.219291,61.27474,69.626939,50.433545,94.569882
"Cfap45",0.039059,0.227897,0.278917,0.293616,0.212729,0.279484
"Dusp23",8.764968,9.634906,8.118912,9.808123,13.60756,10.90184
"Nkapl",0.241996,0.674575,0.099675,0.134474,0.062434,0.246821
"Olfr54",0,0,0,0,0,0
"Plp1",2.525972,0.858284,3.011505,2.301392,1.44105,1.574267
"Olfr1290",0,0,0,0,0,0
"Cp",64.957708,118.537311,60.255569,38.149853,20.860576,40.753284
"Olfr824",0,0,0,0,0,0
"Gm5728",0,0,0,0,0,0
"Atp1a4",0.153523,0.295339,0.633985,0.455022,0.285374,0.443763
"Rbp1",6.637734,16.656263,3.909275,5.594468,2.704951,9.793034
"Ankrd66",0,0,0,0,0,0
"Rab34",33.430766,40.713547,44.107444,59.739808,61.172482,60.860843
